category	over_represented_pvalue	under_represented_pvalue	numDEInCat	numInCat	term	ontology	over_represented_FDR	go_term	gene_ids
GO:0005488	0	1	7	7	binding	MF	0	MF binding	group7814, group8525, group8369, group8809, group2599, group9097, group8591
GO:0005575	0	1	13	482	cellular_component	CC	0	CC cellular_component	group7814, group8518, group8525, group8369, group8809, group9250, group2599, group9097, group7772, group8496, group1728, group2649, group8591
GO:0005622	0	1	13	23	intracellular anatomical structure	CC	0	CC intracellular anatomical structure	group7814, group8518, group8525, group8369, group8809, group9250, group2599, group9097, group7772, group8496, group1728, group2649, group8591
GO:0005623	0	1	13	13	NA	NA	0	none	group7814, group8518, group8525, group8369, group8809, group9250, group2599, group9097, group7772, group8496, group1728, group2649, group8591
GO:0006807	0	1	8	10	nitrogen compound metabolic process	BP	0	BP nitrogen compound metabolic process	group7814, group2599, group9097, group7772, group8496, group1728, group2649, group8591
GO:0008150	0	1	13	456	biological_process	BP	0	BP biological_process	group7814, group8518, group8525, group8369, group8809, group9250, group2599, group9097, group7772, group8496, group1728, group2649, group8591
GO:0008152	0	1	10	10	metabolic process	BP	0	BP metabolic process	group7814, group8369, group9250, group2599, group9097, group7772, group8496, group1728, group2649, group8591
GO:0009987	0	1	10	12	cellular process	BP	0	BP cellular process	group7814, group8369, group8809, group2599, group9097, group7772, group8496, group1728, group2649, group8591
GO:0019222	0	1	6	7	regulation of metabolic process	BP	0	BP regulation of metabolic process	group7814, group8525, group8809, group9097, group8496, group1728
GO:0019538	0	1	7	8	protein metabolic process	BP	0	BP protein metabolic process	group7814, group9097, group7772, group8496, group1728, group2649, group8591
GO:0031323	0	1	6	8	regulation of cellular metabolic process	BP	0	BP regulation of cellular metabolic process	group7814, group8525, group8809, group9097, group8496, group1728
GO:0036211	0	1	5	5	protein modification process	BP	0	BP protein modification process	group7814, group9097, group7772, group8496, group2649
GO:0043170	0	1	9	9	macromolecule metabolic process	BP	0	BP macromolecule metabolic process	group7814, group9250, group2599, group9097, group7772, group8496, group1728, group2649, group8591
GO:0043226	0	1	11	11	organelle	CC	0	CC organelle	group7814, group8518, group8525, group8809, group9250, group2599, group9097, group7772, group8496, group1728, group2649
GO:0043227	0	1	11	11	membrane-bounded organelle	CC	0	CC membrane-bounded organelle	group7814, group8518, group8525, group8809, group9250, group2599, group9097, group7772, group8496, group1728, group2649
GO:0043229	0	1	11	16	intracellular organelle	CC	0	CC intracellular organelle	group7814, group8518, group8525, group8809, group9250, group2599, group9097, group7772, group8496, group1728, group2649
GO:0043231	0	1	11	80	intracellular membrane-bounded organelle	CC	0	CC intracellular membrane-bounded organelle	group7814, group8518, group8525, group8809, group9250, group2599, group9097, group7772, group8496, group1728, group2649
GO:0043412	0	1	5	5	macromolecule modification	BP	0	BP macromolecule modification	group7814, group9097, group7772, group8496, group2649
GO:0044237	0	1	9	10	cellular metabolic process	BP	0	BP cellular metabolic process	group7814, group8369, group2599, group9097, group7772, group8496, group1728, group2649, group8591
GO:0044238	0	1	8	8	primary metabolic process	BP	0	BP primary metabolic process	group7814, group2599, group9097, group7772, group8496, group1728, group2649, group8591
GO:0044260	0	1	8	8	cellular macromolecule metabolic process	BP	0	BP cellular macromolecule metabolic process	group7814, group2599, group9097, group7772, group8496, group1728, group2649, group8591
